id;titulo;resumen;descripcion;fecha;direccion;imagen;fila_asientos;column_asientos;precio_entrada;evento_tipo_nombre;evento_tipo_descripcion
1;whose;saturate;../fake-data/blob/hipster.txt;2025-11-13T21:09:06;famously;illusion;5510;28245;16694.76;finally;impassioned hope amnesty
2;hm given;volleyball majority remarkable;../fake-data/blob/hipster.txt;2025-11-13T22:24:58;gosh only neglect;likely;30773;10422;27008.51;supposing;near
3;cake as;syringe;../fake-data/blob/hipster.txt;2025-11-13T05:27:48;strait repeatedly till;that enchanting;29423;7437;12507.27;expensive;because
4;how tribe who;whose deceivingly;../fake-data/blob/hipster.txt;2025-11-14T01:19:51;besides version;barring informal down;2263;21188;6073.41;ignite sequester;besides oddly
5;casement because frail;innocently accidentally;../fake-data/blob/hipster.txt;2025-11-13T05:37:49;loyally;whoever put cleverly;31797;712;19696.75;concerned busily;yowza merge qua
6;sans industrialize atop;colossal;../fake-data/blob/hipster.txt;2025-11-13T16:19:24;untrue notwithstanding splosh;following;18491;20196;13998.35;yippee giggle;lasting junior knowledgeably
7;that;vista below boldly;../fake-data/blob/hipster.txt;2025-11-13T02:46:33;wilted;swill abnormally;196;7799;17773.68;than;for regarding criminal
8;reproach upside-down;whoever loose;../fake-data/blob/hipster.txt;2025-11-13T07:54:24;pile phew;meanwhile;12659;16450;18440.27;whoa;edge
9;on customise;what quip;../fake-data/blob/hipster.txt;2025-11-13T20:58:41;apud sardonic;pixellate circa;19707;18052;21380.97;against;circumnavigate
10;of;against;../fake-data/blob/hipster.txt;2025-11-13T13:01:02;after;whose once;26509;25491;15705.85;even deform;yuck
