id;fecha_venta;precio_venta;resultado;descripcion;cantidad_asientos;evento_id
1;2025-11-13T20:43:08;8773.89;true;concerning;3;1
2;2025-11-13T16:56:42;32138.77;true;for tensely;0;2
3;2025-11-13T05:20:11;5448.05;false;exalted;1;3
4;2025-11-13T16:15:04;18333.37;true;formal;1;4
5;2025-11-14T00:31:47;10306.06;true;surprised;4;5
6;2025-11-14T01:26:33;19700.81;false;scamper unless;2;6
7;2025-11-13T22:50:04;18013.72;false;quart on;4;7
8;2025-11-13T11:48:10;29173.91;false;enormously;1;8
9;2025-11-14T00:41:10;9088.58;true;inject instead between;2;9
10;2025-11-13T09:53:22;29736.47;false;hence;2;10
